id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1451200067700879362,1451200067700879362,2021-10-21 20:23:52 India Standard Time,2021-10-21,20:23:52,+0530,2321180159,seanleerocks1,King Dingle,,IBM stock floored today after an earnings beat with a $3 price adjustment to $172 per share. #overeaction,en,[],[],[],0,0,0,['overeaction'],[],https://twitter.com/SeanLeeRocks1/status/1451200067700879362,False,,0,,,,,,,,[],,,,
1451196416185888769,1451196416185888769,2021-10-21 20:09:22 India Standard Time,2021-10-21,20:09:22,+0530,1290767371590758400,pessemessy,Advance Society,,NEXT $FB $AAPL $TWTR   $DWAC HALT UP IMMINENT 140M &amp; RISING #USA #TRUMP   #stock #stocks #StockMarket #china $Baba $pltr $mrna $pfe $SPY $MRNA $DHR $SOS $NXTP $NVDA $AMD $pdd $nio $wkhs $c $csco $wmt $snap $T $PINS $PYPL $IBM $DHR $sos $nxtp $vlo $siox $va $sbx $snap $f #btc  https://t.co/E5khNNsKTg,tl,[],[],['https://pbs.twimg.com/media/FCOvceEVgAY_jar.png'],0,0,1,"['usa', 'trump', 'stock', 'stocks', 'stockmarket', 'china', 'btc']","['fb', 'aapl', 'twtr', 'dwac', 'baba', 'pltr', 'mrna', 'pfe', 'spy', 'mrna', 'dhr', 'sos', 'nxtp', 'nvda', 'amd', 'pdd', 'nio', 'wkhs', 'c', 'csco', 'wmt', 'snap', 't', 'pins', 'pypl', 'ibm', 'dhr', 'sos', 'nxtp', 'vlo', 'siox', 'va', 'sbx', 'snap', 'f']",https://twitter.com/PesseMessy/status/1451196416185888769,False,https://twitter.com/gurgavin/status/1451167903487758336,1,https://pbs.twimg.com/media/FCOvceEVgAY_jar.png,,,,,,,[],,,,
1451194491004604432,1451192998323130377,2021-10-21 20:01:43 India Standard Time,2021-10-21,20:01:43,+0530,1436406427258654723,royalpurple1976,royal purple,,@rosemontseneca Do you still believe intel is cheapest stock in America or would you consider ibm as new #1,en,[],[],[],0,0,0,[],[],https://twitter.com/royalpurple1976/status/1451194491004604432,False,,0,,,,,,,,"[{'screen_name': 'rosemontseneca', 'name': 'Special Situations', 'id': '2379296515'}]",,,,
1451194134715252741,1451182181078999040,2021-10-21 20:00:18 India Standard Time,2021-10-21,20:00:18,+0530,2309328248,mikestroup10,Michael Stroup,,@lhamtil The only stock safe to short in a post GameStop world is IBM,en,[],[],[],0,0,1,[],[],https://twitter.com/MikeStroup10/status/1451194134715252741,False,,0,,,,,,,,"[{'screen_name': 'lhamtil', 'name': 'Lawrence Hamtil', 'id': '3222282726'}]",,,,
1451192998323130377,1451192998323130377,2021-10-21 19:55:47 India Standard Time,2021-10-21,19:55:47,+0530,2379296515,rosemontseneca,Special Situations,,buying our niece some $IBM stock for her bat mitzvah  favorite uncle secured.,en,[],[],[],8,0,11,[],['ibm'],https://twitter.com/rosemontseneca/status/1451192998323130377,False,,0,,,,,,,,[],,,,
1451192967020957715,1451192967020957715,2021-10-21 19:55:39 India Standard Time,2021-10-21,19:55:39,+0530,916787510822436864,topstockalerts1,Top Stock Alerts,,$IBM IBM Stock Slumps After Q3 Revenue Miss As Legacy Computer Services Business Drags   https://t.co/0UBfpwK9jX,en,[],['https://www.thestreet.com/markets/ibm-stock-slumps-after-q3-revenue-miss-as-legacy-business-drags'],[],0,0,1,[],['ibm'],https://twitter.com/TopStockAlerts1/status/1451192967020957715,False,,0,,,,,,,,[],,,,
1451188403958009858,1451188403958009858,2021-10-21 19:37:31 India Standard Time,2021-10-21,19:37:31,+0530,2598000222,naijanewswire,Naija News Agency,,"Tesla, Pinterest, IBM, Intel: What to Watch in the Stock Market Today  https://t.co/ROKX5ZciJu",en,[],['https://naijanewsagency.com/tesla-pinterest-ibm-intel-what-to-watch-in-the-stock-market-today/'],[],0,0,0,[],[],https://twitter.com/NaijaNewsWire/status/1451188403958009858,False,,0,,,,,,,,[],,,,
1451186515149684738,1451186515149684738,2021-10-21 19:30:01 India Standard Time,2021-10-21,19:30:01,+0530,3389942932,zinfoinfo,Zinfo.Info Search Engine,," https://t.co/iCnomkamxV Market News Search  Alert: Tesla                  Tesla, IBM quarterly resultsU.S. stock indexe...   https://t.co/UvpnuPXxic",und,[],"['http://Zinfo.Info', 'http://zinfo.info?s=Tesla']",[],0,0,0,[],[],https://twitter.com/ZinfoInfo/status/1451186515149684738,False,,0,,,,,,,,[],,,,
1451185722614960135,1451185722614960135,2021-10-21 19:26:52 India Standard Time,2021-10-21,19:26:52,+0530,851867085697429504,hourlystocktips,Hourly Stock Tips,,Stock tip of the hour: we strongly suggest you buy IBM!!!!,en,[],[],[],0,0,0,[],[],https://twitter.com/hourlystocktips/status/1451185722614960135,False,,0,,,,,,,,[],,,,
1451185541442007058,1451184585061007361,2021-10-21 19:26:09 India Standard Time,2021-10-21,19:26:09,+0530,73350650,alizasl,Ali Zandi,,@michaellistman IBM is a funny stock. It's trading at the same price as 1999 and also in 2009. Every decade it goes back to the same price 😅,en,[],[],[],0,0,1,[],[],https://twitter.com/alizasl/status/1451185541442007058,False,,0,,,,,,,,"[{'screen_name': 'michaellistman', 'name': 'UVXYTrader', 'id': '55416211'}]",,,,
1451184838686371843,1451184838686371843,2021-10-21 19:23:21 India Standard Time,2021-10-21,19:23:21,+0530,2615823308,warren_g_buffet,Warren G Buffett,,$IBM Busted #earnings - honestly don't mind the stock but rolling the put to Nov for a credit. Total credit is now $2.72 - and I own a 137 Put in November. Looking for a bounce to at about 135 to B/E. #tastytrade  https://t.co/h97hmaFUad,en,[],[],['https://pbs.twimg.com/media/FCOkrLyUcAcXqvJ.png'],0,0,1,"['earnings', 'tastytrade']",['ibm'],https://twitter.com/warren_g_buffet/status/1451184838686371843,False,,1,https://pbs.twimg.com/media/FCOkrLyUcAcXqvJ.png,,,,,,,[],,,,
1451184645031141379,1451184645031141379,2021-10-21 19:22:35 India Standard Time,2021-10-21,19:22:35,+0530,266591112,stocksinc,Dr Stocks,,"Doc’s Just In - U.S. stock indexes opened lower on Thursday as IBM (NYSE:IBM) and Tesla (NASDAQ:TSLA) fell after their quarterly results, with investors awaiting more reports to see the impact of supply chain disruption and labor shortages on companies.",en,[],[],[],0,0,0,[],[],https://twitter.com/StocksInc/status/1451184645031141379,False,,0,,,,,,,,[],,,,
1451183762436284423,1451183762436284423,2021-10-21 19:19:05 India Standard Time,2021-10-21,19:19:05,+0530,759906373891084289,joyrockzzzz,Noticia - Latest Broadcasting,,"Tesla, Pinterest, IBM, Intel: What to Watch in the Stock Market Today  https://t.co/vcv45sjMcM",en,[],['https://noticia.parotz.com/2021/10/tesla-pinterest-ibm-intel-what-to-watch-in-the-stock-market-today/'],[],0,0,0,[],[],https://twitter.com/joyrockzzzz/status/1451183762436284423,False,,0,,,,,,,,[],,,,
